,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
172,Algeria,Wheat,2005,15057,89.0,3662.87,17.19
177,Algeria,Wheat,2006,15068,89.0,4110.72,18.13
182,Algeria,Wheat,2007,12742,89.0,5390.79,17.42
187,Algeria,Wheat,2008,11038,89.0,11556.12,17.55
192,Algeria,Wheat,2009,15975,89.0,3867.99,17.78
197,Algeria,Wheat,2010,14838,89.0,1295.88,17.59
202,Algeria,Wheat,2011,17405,89.0,13861.76,17.79
207,Algeria,Wheat,2012,17639,89.0,17379.76,17.91
212,Algeria,Wheat,2013,19100,89.0,17278.65,17.65
218,Angola,Wheat,1990,7995,1010.0,64.0,24.12
224,Angola,Wheat,1991,8000,1010.0,79.0,24.02
230,Angola,Wheat,1992,8000,1010.0,23.0,23.96
236,Angola,Wheat,1993,8876,1010.0,169.0,24.15
242,Angola,Wheat,1994,10000,1010.0,25.5,24.04
248,Angola,Wheat,1995,11855,1010.0,336.0,24.56
254,Angola,Wheat,1996,13738,1010.0,40.0,24.11
260,Angola,Wheat,1997,15509,1010.0,40.0,24.06
266,Angola,Wheat,1998,17143,1010.0,40.0,24.96
272,Angola,Wheat,1999,17391,1010.0,40.0,24.37
280,Angola,Wheat,2000,17023,1010.0,40.0,24.41
288,Angola,Wheat,2001,16667,1010.0,40.0,24.43
296,Angola,Wheat,2002,15455,1010.0,40.0,24.79
304,Angola,Wheat,2004,12442,1010.0,40.0,24.22
312,Angola,Wheat,2005,10946,1010.0,40.0,24.41
320,Angola,Wheat,2006,10000,1010.0,40.0,24.14
328,Angola,Wheat,2007,10000,1010.0,40.0,24.24
336,Angola,Wheat,2008,10000,1010.0,40.0,24.27
344,Angola,Wheat,2009,10000,1010.0,40.0,24.33
352,Angola,Wheat,2010,10526,1010.0,40.0,24.44
360,Angola,Wheat,2011,10959,1010.0,40.0,24.15
368,Angola,Wheat,2012,11258,1010.0,40.0,24.24
376,Angola,Wheat,2013,9022,1010.0,40.0,24.55
391,Argentina,Wheat,1990,18947,591.0,26156.0,17.46
392,Argentina,Wheat,1990,18947,591.0,26156.0,17.67
407,Argentina,Wheat,1991,18972,591.0,26156.0,17.64
408,Argentina,Wheat,1991,18972,591.0,26156.0,17.86
423,Argentina,Wheat,1992,21809,591.0,26156.0,17.09
424,Argentina,Wheat,1992,21809,591.0,26156.0,17.51
439,Argentina,Wheat,1993,23272,591.0,26156.0,17.32
440,Argentina,Wheat,1993,23272,591.0,26156.0,17.53
455,Argentina,Wheat,1994,20237,591.0,30195.0,18.17
456,Argentina,Wheat,1994,20237,591.0,30195.0,18.31
471,Argentina,Wheat,1995,21675,591.0,37842.0,17.74
472,Argentina,Wheat,1995,21675,591.0,37842.0,17.62
487,Argentina,Wheat,1996,19344,591.0,54595.0,17.64
488,Argentina,Wheat,1996,19344,591.0,54595.0,17.97
503,Argentina,Wheat,1997,22426,591.0,77691.0,18.29
504,Argentina,Wheat,1997,22426,591.0,77691.0,18.54
519,Argentina,Wheat,1998,26088,591.0,62397.0,17.23
520,Argentina,Wheat,1998,26088,591.0,62397.0,17.52
535,Argentina,Wheat,1999,23028,591.0,62831.39,17.15
536,Argentina,Wheat,1999,23028,591.0,62831.39,17.71
551,Argentina,Wheat,2000,24873,591.0,63265.78,16.98
552,Argentina,Wheat,2000,24873,591.0,63265.78,17.66
567,Argentina,Wheat,2001,24934,591.0,63700.17,17.71
568,Argentina,Wheat,2001,24934,591.0,63700.17,18.42
583,Argentina,Wheat,2002,22398,591.0,64134.56,17.58
584,Argentina,Wheat,2002,22398,591.0,64134.56,18.07
599,Argentina,Wheat,2004,25441,591.0,65003.34,17.67
600,Argentina,Wheat,2004,25441,591.0,65003.34,18.11
615,Argentina,Wheat,2005,26356,591.0,65437.73,17.32
616,Argentina,Wheat,2005,26356,591.0,65437.73,17.83
631,Argentina,Wheat,2006,25302,591.0,65872.12,18.1
632,Argentina,Wheat,2006,25302,591.0,65872.12,18.35
647,Argentina,Wheat,2007,26234,591.0,81582.64,16.71
648,Argentina,Wheat,2007,26234,591.0,81582.64,17.14
663,Argentina,Wheat,2008,28271,591.0,87149.01,17.71
664,Argentina,Wheat,2008,28271,591.0,87149.01,18.39
679,Argentina,Wheat,2009,19628,591.0,61586.56,18.16
680,Argentina,Wheat,2009,19628,591.0,61586.56,18.09
695,Argentina,Wheat,2010,27113,591.0,105915.04,17.33
696,Argentina,Wheat,2010,27113,591.0,105915.04,17.84
711,Argentina,Wheat,2011,35063,591.0,100424.62,17.58
712,Argentina,Wheat,2011,35063,591.0,100424.62,17.93
727,Argentina,Wheat,2012,32199,591.0,136185.08,18.18
728,Argentina,Wheat,2012,32199,591.0,136185.08,18.43
743,Argentina,Wheat,2013,26581,591.0,171945.54,16.45
744,Argentina,Wheat,2013,26581,591.0,171945.54,16.88
747,Armenia,Wheat,1992,21600,562.0,8.0,7.44
750,Armenia,Wheat,1993,22257,562.0,8.0,7.69
753,Armenia,Wheat,1994,17842,562.0,23.0,8.84
756,Armenia,Wheat,1995,25480,562.0,23.9,9.76
759,Armenia,Wheat,1996,23569,562.0,32.0,9.55
762,Armenia,Wheat,1997,17009,562.0,41.46,9.1
765,Armenia,Wheat,1998,20651,562.0,50.92,10.28
768,Armenia,Wheat,1999,19466,562.0,60.38,10.11
771,Armenia,Wheat,2000,16679,562.0,69.85,9.68
774,Armenia,Wheat,2001,22263,562.0,79.31,10.18
777,Armenia,Wheat,2002,23877,562.0,88.77,9.41
780,Armenia,Wheat,2004,23416,562.0,204.77,9.55
783,Armenia,Wheat,2005,20252,562.0,220.51,9.58
786,Armenia,Wheat,2006,14627,562.0,227.55,9.89
789,Armenia,Wheat,2007,25837,562.0,241.71,9.44
792,Armenia,Wheat,2008,24322,562.0,218.2,9.51
795,Armenia,Wheat,2009,22374,562.0,198.36,9.67
798,Armenia,Wheat,2010,21192,562.0,278.72,11.31
801,Armenia,Wheat,2011,28800,562.0,278.72,8.93
804,Armenia,Wheat,2012,26010,562.0,278.72,10.2
807,Armenia,Wheat,2013,31273,562.0,278.72,11.08
844,Australia,Wheat,1990,16344,534.0,17866.0,16.8
845,Australia,Wheat,1990,16344,534.0,17866.0,20.06
846,Australia,Wheat,1990,16344,534.0,17866.0,12.11
847,Australia,Wheat,1990,16344,534.0,17866.0,14.16
848,Australia,Wheat,1990,16344,534.0,17866.0,18.05
849,Australia,Wheat,1990,16344,534.0,17866.0,17.47
886,Australia,Wheat,1991,14698,534.0,17866.0,16.78
887,Australia,Wheat,1991,14698,534.0,17866.0,20.29
888,Australia,Wheat,1991,14698,534.0,17866.0,12.22
889,Australia,Wheat,1991,14698,534.0,17866.0,13.77
890,Australia,Wheat,1991,14698,534.0,17866.0,18.73
891,Australia,Wheat,1991,14698,534.0,17866.0,17.85
928,Australia,Wheat,1992,17812,534.0,22234.0,15.78
929,Australia,Wheat,1992,17812,534.0,22234.0,19.79
930,Australia,Wheat,1992,17812,534.0,22234.0,11.21
931,Australia,Wheat,1992,17812,534.0,22234.0,13.31
932,Australia,Wheat,1992,17812,534.0,22234.0,18.45
933,Australia,Wheat,1992,17812,534.0,22234.0,16.89
970,Australia,Wheat,1993,19658,534.0,23899.0,16.71
971,Australia,Wheat,1993,19658,534.0,23899.0,20.19
972,Australia,Wheat,1993,19658,534.0,23899.0,11.84
973,Australia,Wheat,1993,19658,534.0,23899.0,13.81
974,Australia,Wheat,1993,19658,534.0,23899.0,18.03
975,Australia,Wheat,1993,19658,534.0,23899.0,17.42
1012,Australia,Wheat,1994,11356,534.0,21057.0,16.43
1013,Australia,Wheat,1994,11356,534.0,21057.0,19.59
1014,Australia,Wheat,1994,11356,534.0,21057.0,11.6
1015,Australia,Wheat,1994,11356,534.0,21057.0,13.52
1016,Australia,Wheat,1994,11356,534.0,21057.0,19.17
1017,Australia,Wheat,1994,11356,534.0,21057.0,17.36
1054,Australia,Wheat,1995,17899,534.0,25598.0,16.14
1055,Australia,Wheat,1995,17899,534.0,25598.0,20.12
1056,Australia,Wheat,1995,17899,534.0,25598.0,11.39
1057,Australia,Wheat,1995,17899,534.0,25598.0,13.14
1058,Australia,Wheat,1995,17899,534.0,25598.0,18.88
1059,Australia,Wheat,1995,17899,534.0,25598.0,16.95
1096,Australia,Wheat,1996,21673,534.0,31185.0,16.12
1097,Australia,Wheat,1996,21673,534.0,31185.0,20.06
1098,Australia,Wheat,1996,21673,534.0,31185.0,11.29
1099,Australia,Wheat,1996,21673,534.0,31185.0,13.05
1100,Australia,Wheat,1996,21673,534.0,31185.0,19.13
1101,Australia,Wheat,1996,21673,534.0,31185.0,17.05
1138,Australia,Wheat,1997,18412,534.0,34091.0,16.48
1139,Australia,Wheat,1997,18412,534.0,34091.0,20.16
1140,Australia,Wheat,1997,18412,534.0,34091.0,12.13
1141,Australia,Wheat,1997,18412,534.0,34091.0,13.93
1142,Australia,Wheat,1997,18412,534.0,34091.0,18.94
1143,Australia,Wheat,1997,18412,534.0,34091.0,17.51
1180,Australia,Wheat,1998,19153,534.0,37215.0,16.28
1181,Australia,Wheat,1998,19153,534.0,37215.0,20.62
1182,Australia,Wheat,1998,19153,534.0,37215.0,12.46
1183,Australia,Wheat,1998,19153,534.0,37215.0,13.61
1184,Australia,Wheat,1998,19153,534.0,37215.0,18.9
1185,Australia,Wheat,1998,19153,534.0,37215.0,18.05
1222,Australia,Wheat,1999,20066,534.0,34200.0,16.77
1223,Australia,Wheat,1999,20066,534.0,34200.0,19.75
1224,Australia,Wheat,1999,20066,534.0,34200.0,12.1
1225,Australia,Wheat,1999,20066,534.0,34200.0,14.2
1226,Australia,Wheat,1999,20066,534.0,34200.0,19.28
1227,Australia,Wheat,1999,20066,534.0,34200.0,17.55
1264,Australia,Wheat,2000,18209,534.0,33475.0,17.08
1265,Australia,Wheat,2000,18209,534.0,33475.0,19.89
1266,Australia,Wheat,2000,18209,534.0,33475.0,12.09
1267,Australia,Wheat,2000,18209,534.0,33475.0,14.32
1268,Australia,Wheat,2000,18209,534.0,33475.0,19.07
1269,Australia,Wheat,2000,18209,534.0,33475.0,17.57
1306,Australia,Wheat,2001,18209,534.0,32710.0,16.63
1307,Australia,Wheat,2001,18209,534.0,32710.0,20.21
1308,Australia,Wheat,2001,18209,534.0,32710.0,12.29
1309,Australia,Wheat,2001,18209,534.0,32710.0,14.18
1310,Australia,Wheat,2001,18209,534.0,32710.0,18.39
1311,Australia,Wheat,2001,18209,534.0,32710.0,17.85
1348,Australia,Wheat,2002,21076,534.0,26651.0,16.63
1349,Australia,Wheat,2002,21076,534.0,26651.0,20.38
1350,Australia,Wheat,2002,21076,534.0,26651.0,12.31
1351,Australia,Wheat,2002,21076,534.0,26651.0,14.08
1352,Australia,Wheat,2002,21076,534.0,26651.0,18.93
1353,Australia,Wheat,2002,21076,534.0,26651.0,17.73
1390,Australia,Wheat,2004,19998,534.0,36276.0,16.64
1391,Australia,Wheat,2004,19998,534.0,36276.0,20.42
1392,Australia,Wheat,2004,19998,534.0,36276.0,12.35
1393,Australia,Wheat,2004,19998,534.0,36276.0,13.74
1394,Australia,Wheat,2004,19998,534.0,36276.0,18.87
1395,Australia,Wheat,2004,19998,534.0,36276.0,17.87
1432,Australia,Wheat,2005,16348,534.0,34310.0,16.93
1433,Australia,Wheat,2005,16348,534.0,34310.0,20.71
1434,Australia,Wheat,2005,16348,534.0,34310.0,12.48
1435,Australia,Wheat,2005,16348,534.0,34310.0,14.38
1436,Australia,Wheat,2005,16348,534.0,34310.0,18.26
1437,Australia,Wheat,2005,16348,534.0,34310.0,18.03
1474,Australia,Wheat,2006,20213,534.0,35900.0,16.75
1475,Australia,Wheat,2006,20213,534.0,35900.0,20.17
1476,Australia,Wheat,2006,20213,534.0,35900.0,12.51
1477,Australia,Wheat,2006,20213,534.0,35900.0,13.99
1478,Australia,Wheat,2006,20213,534.0,35900.0,18.99
1479,Australia,Wheat,2006,20213,534.0,35900.0,17.75
1516,Australia,Wheat,2007,9173,534.0,32446.25,17.49
1517,Australia,Wheat,2007,9173,534.0,32446.25,20.31
1518,Australia,Wheat,2007,9173,534.0,32446.25,12.83
1519,Australia,Wheat,2007,9173,534.0,32446.25,14.99
1520,Australia,Wheat,2007,9173,534.0,32446.25,18.84
1521,Australia,Wheat,2007,9173,534.0,32446.25,18.02
1558,Australia,Wheat,2008,10788,534.0,42935.38,16.7
1559,Australia,Wheat,2008,10788,534.0,42935.38,19.79
1560,Australia,Wheat,2008,10788,534.0,42935.38,12.0
1561,Australia,Wheat,2008,10788,534.0,42935.38,14.11
1562,Australia,Wheat,2008,10788,534.0,42935.38,18.78
1563,Australia,Wheat,2008,10788,534.0,42935.38,17.32
1600,Australia,Wheat,2009,15831,534.0,38065.68,17.39
1601,Australia,Wheat,2009,15831,534.0,38065.68,20.65
1602,Australia,Wheat,2009,15831,534.0,38065.68,12.87
1603,Australia,Wheat,2009,15831,534.0,38065.68,14.65
1604,Australia,Wheat,2009,15831,534.0,38065.68,19.01
1605,Australia,Wheat,2009,15831,534.0,38065.68,18.18
1642,Australia,Wheat,2010,15729,534.0,42169.39,16.72
1643,Australia,Wheat,2010,15729,534.0,42169.39,20.33
1644,Australia,Wheat,2010,15729,534.0,42169.39,12.37
1645,Australia,Wheat,2010,15729,534.0,42169.39,14.23
1646,Australia,Wheat,2010,15729,534.0,42169.39,19.09
1647,Australia,Wheat,2010,15729,534.0,42169.39,18.0
1684,Australia,Wheat,2011,20301,534.0,47632.99,16.9
1685,Australia,Wheat,2011,20301,534.0,47632.99,19.88
1686,Australia,Wheat,2011,20301,534.0,47632.99,12.16
1687,Australia,Wheat,2011,20301,534.0,47632.99,14.19
1688,Australia,Wheat,2011,20301,534.0,47632.99,19.99
1689,Australia,Wheat,2011,20301,534.0,47632.99,17.71
1726,Australia,Wheat,2012,21511,534.0,48687.88,16.84
1727,Australia,Wheat,2012,21511,534.0,48687.88,20.08
1728,Australia,Wheat,2012,21511,534.0,48687.88,11.79
1729,Australia,Wheat,2012,21511,534.0,48687.88,14.27
1730,Australia,Wheat,2012,21511,534.0,48687.88,19.55
1731,Australia,Wheat,2012,21511,534.0,48687.88,17.47
1768,Australia,Wheat,2013,17609,534.0,45177.18,17.39
1769,Australia,Wheat,2013,17609,534.0,45177.18,20.14
1770,Australia,Wheat,2013,17609,534.0,45177.18,12.19
1771,Australia,Wheat,2013,17609,534.0,45177.18,14.74
1772,Australia,Wheat,2013,17609,534.0,45177.18,19.98
1773,Australia,Wheat,2013,17609,534.0,45177.18,18.09
1777,Austria,Wheat,1990,50479,1110.0,4246.0,9.23
1781,Austria,Wheat,1991,50735,1110.0,4487.0,8.15
1785,Austria,Wheat,1992,53938,1110.0,3897.0,9.49
1789,Austria,Wheat,1993,42246,1110.0,3984.0,8.48
1793,Austria,Wheat,1994,52088,1110.0,3619.0,9.89
1797,Austria,Wheat,1995,50856,1110.0,3402.0,8.79
1801,Austria,Wheat,1996,50069,1110.0,3565.0,7.4
1805,Austria,Wheat,1997,52044,1110.0,3689.6,8.37
1809,Austria,Wheat,1998,50749,1110.0,3340.3,9.01
1813,Austria,Wheat,1999,54348,1110.0,3418.6,9.17
1817,Austria,Wheat,2000,44688,1110.0,3563.2,10.08
1821,Austria,Wheat,2001,52412,1110.0,3132.2,8.75
1825,Austria,Wheat,2002,49667,1110.0,3079.2,9.62
1829,Austria,Wheat,2004,59234,1110.0,3301.7,8.76
1833,Austria,Wheat,2005,50286,1110.0,3404.0,8.6
1837,Austria,Wheat,2006,49066,1110.0,3415.7,9.13
1841,Austria,Wheat,2007,47763,1110.0,3526.6,10.03
1845,Austria,Wheat,2008,56935,1110.0,4246.7,9.96
1849,Austria,Wheat,2009,49295,1110.0,3531.8,9.48
1854,Austria,Wheat,2010,50117,1110.0,3692.4,8.36
1859,Austria,Wheat,2011,58549,1110.0,3441.5,9.42
1864,Austria,Wheat,2012,41388,1110.0,3563.3,9.42
1869,Austria,Wheat,2013,53743,1110.0,3108.6,10.03
1875,Azerbaijan,Wheat,1992,21705,447.0,148.68,10.93
1881,Azerbaijan,Wheat,1993,16855,447.0,148.68,10.53
1887,Azerbaijan,Wheat,1994,16296,447.0,148.68,11.32
1893,Azerbaijan,Wheat,1995,14940,447.0,148.68,12.81
1899,Azerbaijan,Wheat,1996,16627,447.0,148.68,11.96
1905,Azerbaijan,Wheat,1997,16914,447.0,148.68,11.89
1911,Azerbaijan,Wheat,1998,15764,447.0,148.68,12.79
1916,Azerbaijan,Wheat,1999,19992,447.0,148.68,12.74
1922,Azerbaijan,Wheat,2000,23223,447.0,148.68,12.61
1927,Azerbaijan,Wheat,2001,26154,447.0,148.68,12.97
1931,Azerbaijan,Wheat,2002,26028,447.0,148.68,12.45
1936,Azerbaijan,Wheat,2004,25748,447.0,148.68,12.76
1941,Azerbaijan,Wheat,2005,25818,447.0,148.68,12.88
1947,Azerbaijan,Wheat,2006,26050,447.0,148.68,12.66
1952,Azerbaijan,Wheat,2007,26722,447.0,148.68,12.75
1958,Azerbaijan,Wheat,2008,27251,447.0,262.99,12.3
1963,Azerbaijan,Wheat,2009,25946,447.0,316.18,12.6
1968,Azerbaijan,Wheat,2010,19381,447.0,333.85,13.85
1973,Azerbaijan,Wheat,2011,24376,447.0,461.84,11.79
1979,Azerbaijan,Wheat,2012,26144,447.0,516.35,13.0
1985,Azerbaijan,Wheat,2013,26719,447.0,489.8,14.12
2092,Bangladesh,Wheat,1990,15034,2666.0,1266.0,25.98
2093,Bangladesh,Wheat,1990,15034,2666.0,1266.0,25.98
2104,Bangladesh,Wheat,1991,16767,2666.0,1287.0,25.85
2105,Bangladesh,Wheat,1991,16767,2666.0,1287.0,25.85
2116,Bangladesh,Wheat,1992,18534,2666.0,1453.0,25.86
2117,Bangladesh,Wheat,1992,18534,2666.0,1453.0,25.86
2128,Bangladesh,Wheat,1993,18457,2666.0,1487.0,25.73
2129,Bangladesh,Wheat,1993,18457,2666.0,1487.0,25.73
2140,Bangladesh,Wheat,1994,18390,2666.0,1594.5,25.91
2141,Bangladesh,Wheat,1994,18390,2666.0,1594.5,25.91
2152,Bangladesh,Wheat,1995,19483,2666.0,1702.0,26.09
2153,Bangladesh,Wheat,1995,19483,2666.0,1702.0,26.09
2164,Bangladesh,Wheat,1996,19531,2666.0,1919.0,26.15
2165,Bangladesh,Wheat,1996,19531,2666.0,1919.0,26.15
2176,Bangladesh,Wheat,1997,20544,2666.0,2035.0,25.55
2177,Bangladesh,Wheat,1997,20544,2666.0,2035.0,25.55
2188,Bangladesh,Wheat,1998,22408,2666.0,2068.0,26.13
2189,Bangladesh,Wheat,1998,22408,2666.0,2068.0,26.13
2200,Bangladesh,Wheat,1999,21627,2666.0,2532.0,26.31
2201,Bangladesh,Wheat,1999,21627,2666.0,2532.0,26.31
2212,Bangladesh,Wheat,2000,22104,2666.0,3170.0,25.91
2213,Bangladesh,Wheat,2000,22104,2666.0,3170.0,25.91
2224,Bangladesh,Wheat,2001,21643,2666.0,3295.78,25.93
2225,Bangladesh,Wheat,2001,21643,2666.0,3295.78,25.93
2236,Bangladesh,Wheat,2002,21644,2666.0,2954.29,26.1
2237,Bangladesh,Wheat,2002,21644,2666.0,2954.29,26.1
2248,Bangladesh,Wheat,2004,19527,2666.0,5587.81,26.14
2249,Bangladesh,Wheat,2004,19527,2666.0,5587.81,26.14
2262,Bangladesh,Wheat,2005,17478,2666.0,7605.01,26.19
2263,Bangladesh,Wheat,2005,17478,2666.0,7605.01,26.19
2276,Bangladesh,Wheat,2006,15344,2666.0,9074.43,26.44
2277,Bangladesh,Wheat,2006,15344,2666.0,9074.43,26.44
2290,Bangladesh,Wheat,2007,18471,2666.0,10962.31,25.95
2291,Bangladesh,Wheat,2007,18471,2666.0,10962.31,25.95
2304,Bangladesh,Wheat,2008,21753,2666.0,12936.5,26.0
2305,Bangladesh,Wheat,2008,21753,2666.0,12936.5,26.0
2318,Bangladesh,Wheat,2009,21516,2666.0,13790.09,26.54
2319,Bangladesh,Wheat,2009,21516,2666.0,13790.09,26.54
2332,Bangladesh,Wheat,2010,23959,2666.0,13283.72,26.65
2333,Bangladesh,Wheat,2010,23959,2666.0,13283.72,26.65
2346,Bangladesh,Wheat,2011,26012,2666.0,14798.28,25.8
2347,Bangladesh,Wheat,2011,26012,2666.0,14798.28,25.8
2360,Bangladesh,Wheat,2012,27789,2666.0,13289.18,26.28
2361,Bangladesh,Wheat,2012,27789,2666.0,13289.18,26.28
2374,Bangladesh,Wheat,2013,30138,2666.0,15330.16,26.59
2375,Bangladesh,Wheat,2013,30138,2666.0,15330.16,26.59
2378,Belarus,Wheat,1992,27983,618.0,8306.31,6.74
2381,Belarus,Wheat,1993,26826,618.0,8306.31,5.61
2384,Belarus,Wheat,1994,22802,618.0,8306.31,6.26
2387,Belarus,Wheat,1995,24791,618.0,8306.31,6.68
2390,Belarus,Wheat,1996,21989,618.0,8306.31,5.32
2393,Belarus,Wheat,1997,25132,618.0,8306.31,5.98
2396,Belarus,Wheat,1998,21347,618.0,8306.31,6.11
2399,Belarus,Wheat,1999,17322,618.0,8306.31,7.38
2402,Belarus,Wheat,2000,21367,618.0,8306.31,7.52
2405,Belarus,Wheat,2001,21255,618.0,8306.31,6.71
2408,Belarus,Wheat,2002,26919,618.0,8306.31,7.34
2411,Belarus,Wheat,2004,33040,618.0,8306.31,6.49
2414,Belarus,Wheat,2005,32812,618.0,8306.31,6.53
2417,Belarus,Wheat,2006,28191,618.0,8306.31,6.6
2420,Belarus,Wheat,2007,32771,618.0,8306.31,7.51
2423,Belarus,Wheat,2008,39752,618.0,8306.31,7.75
2426,Belarus,Wheat,2009,35428,618.0,8306.31,6.75
2429,Belarus,Wheat,2010,28851,618.0,8306.31,6.71
2432,Belarus,Wheat,2011,33088,618.0,8306.31,7.29
2435,Belarus,Wheat,2012,35822,618.0,9578.67,6.33
2438,Belarus,Wheat,2013,30610,618.0,9163.51,7.83
2441,Belgium,Wheat,2000,79198,847.0,9560.49,11.37
2444,Belgium,Wheat,2001,80475,847.0,8529.07,10.94
2447,Belgium,Wheat,2002,82757,847.0,9204.0,11.44
2450,Belgium,Wheat,2004,89806,847.0,9186.0,10.94
2453,Belgium,Wheat,2005,82733,847.0,9776.0,11.16
2456,Belgium,Wheat,2006,82549,847.0,8244.02,11.48
2459,Belgium,Wheat,2007,78908,847.0,6712.05,11.52
2462,Belgium,Wheat,2008,87585,847.0,6516.47,10.9
2465,Belgium,Wheat,2009,94652,847.0,5496.04,11.0
2468,Belgium,Wheat,2010,88272,847.0,4644.53,9.74
2471,Belgium,Wheat,2011,84046,847.0,5740.44,11.69
2474,Belgium,Wheat,2012,84522,847.0,6139.3,10.68
2477,Belgium,Wheat,2013,89349,847.0,5905.6,10.36
2480,Botswana,Wheat,1990,26178,416.0,17.0,19.54
2483,Botswana,Wheat,1991,22464,416.0,19.0,19.29
2486,Botswana,Wheat,1992,21653,416.0,17.0,20.59
2489,Botswana,Wheat,1993,20843,416.0,17.0,19.97
2492,Botswana,Wheat,1994,20032,416.0,17.0,19.26
2495,Botswana,Wheat,1995,19222,416.0,17.0,19.96
2498,Botswana,Wheat,1996,19009,416.0,17.0,19.1
2501,Botswana,Wheat,1997,17235,416.0,17.0,19.26
2504,Botswana,Wheat,1998,16667,416.0,17.0,20.05
2507,Botswana,Wheat,1999,16337,416.0,17.0,20.24
2510,Botswana,Wheat,2000,15878,416.0,17.0,18.97
2513,Botswana,Wheat,2001,15714,416.0,17.0,19.36
2516,Botswana,Wheat,2002,14563,416.0,17.0,19.89
2519,Botswana,Wheat,2004,12692,416.0,17.0,19.41
2522,Botswana,Wheat,2005,11614,416.0,17.0,20.42
2525,Botswana,Wheat,2006,10452,416.0,17.0,18.97
2528,Botswana,Wheat,2007,9000,416.0,17.0,19.71
2531,Botswana,Wheat,2008,8000,416.0,17.0,19.63
2619,Brazil,Wheat,1990,11540,1761.0,49695.0,21.88
2620,Brazil,Wheat,1990,11540,1761.0,49695.0,20.29
2621,Brazil,Wheat,1990,11540,1761.0,49695.0,17.77
2622,Brazil,Wheat,1990,11540,1761.0,49695.0,17.77
2623,Brazil,Wheat,1990,11540,1761.0,49695.0,27.65
2624,Brazil,Wheat,1990,11540,1761.0,49695.0,20.29
2625,Brazil,Wheat,1990,11540,1761.0,49695.0,27.07
2626,Brazil,Wheat,1990,11540,1761.0,49695.0,18.47
2627,Brazil,Wheat,1990,11540,1761.0,49695.0,25.76
2628,Brazil,Wheat,1990,11540,1761.0,49695.0,24.64
2629,Brazil,Wheat,1990,11540,1761.0,49695.0,25.29
2718,Brazil,Wheat,1991,14232,1761.0,58349.44,21.43
2719,Brazil,Wheat,1991,14232,1761.0,58349.44,20.13
2720,Brazil,Wheat,1991,14232,1761.0,58349.44,17.95
2721,Brazil,Wheat,1991,14232,1761.0,58349.44,17.95
2722,Brazil,Wheat,1991,14232,1761.0,58349.44,27.34
2723,Brazil,Wheat,1991,14232,1761.0,58349.44,20.13
2724,Brazil,Wheat,1991,14232,1761.0,58349.44,27.21
2725,Brazil,Wheat,1991,14232,1761.0,58349.44,19.11
2726,Brazil,Wheat,1991,14232,1761.0,58349.44,25.57
2727,Brazil,Wheat,1991,14232,1761.0,58349.44,24.25
2728,Brazil,Wheat,1991,14232,1761.0,58349.44,25.06
2817,Brazil,Wheat,1992,14295,1761.0,67003.89,21.35
2818,Brazil,Wheat,1992,14295,1761.0,67003.89,20.21
